species,iucn_status,year
hians,LC,2015
galatheae,LC,2015
peronii,LC,2010
tenuimana,LC,2011
bowerbanki,VU,2008
echinata,LC,2014
hemprichii,VU,2008
hillae,NT,2014
ishigakiensis,VU,2014
lordhowensis,NT,2008
rotundoflora,NT,2014
solandri,LC,2011
armatus,LC,2015
akazakii,DD,2014
achilles,LC,2012
albipectoralis,LC,2012
blochii,LC,2012
dussumieri,LC,2012
grammoptilus,LC,2012
guttatus,LC,2012
leucopareius,LC,2012
lineatus,LC,2012
mata,LC,2012
nigricans,LC,2012
nigricauda,LC,2012
nigrofuscus,LC,2012
nubilus,LC,2012
olivaceus,LC,2012
pyroferus,LC,2012
thompsoni,LC,2012
triostegus,LC,2012
xanthopterus,LC,2012
fasciatus,LC,2012
haplochrous,NT,2012
tentaculata,LC,2016
pancheri,NT,2010
radiatus,LC,2016
tomentosus,LC,2016
aoupiniensis,VU,1998
bullatus,NT,2010
calcicola,EN,2010
domatifer,VU,1998
fatsioides,VU,1998
megaphyllus,VU,1998
veillonii,EN,1998
abrolhosensis,VU,2008
abrotanoides,LC,2014
aculeus,VU,2014
acuminata,VU,2014
akajimensis,DD,2008
anthocercis,VU,2008
aspera,VU,2014
austera,NT,2008
bushyensis,LC,2008
carduus,NT,2008
caroliniana,VU,2008
cerealis,LC,2014
chesterfieldensis,LC,2008
clathrata,LC,2008
copiosa,DD,2008
cytherea,LC,2008
dendrum,VU,2008
digitifera,NT,2014
divaricata,NT,2008
donei,VU,2008
echinata,VU,2008
efflorescens,DD,2008
elseyi,LC,2008
exquisita,DD,2008
florida,NT,2014
formosa,NT,2014
gemmifera,LC,2014
glauca,NT,2008
grandis,LC,2014
granulosa,NT,2014
horrida,VU,2008
humilis,NT,2014
hyacinthus,NT,2008
inermis,DD,2008
insignis,DD,2008
kirstyae,VU,2008
latistella,LC,2008
listeri,VU,2014
lokani,VU,2008
longicyathus,LC,2008
loripes,NT,2014
lovelli,VU,2014
lutkeni,NT,2014
microclados,VU,2008
microphthalma,LC,2014
millepora,NT,2014
mirabilis,DD,2008
monticulosa,NT,2014
nana,NT,2008
nasuta,NT,2014
nobilis,LC,2008
palmerae,VU,2014
paniculata,VU,2008
pharaonis,VU,2008
pichoni,NT,2008
polystoma,VU,2008
pulchra,LC,2008
rambleri,DD,2014
robusta,LC,2014
rosaria,DD,2008
samoensis,LC,2014
sarmentosa,LC,2008
secale,NT,2014
selago,NT,2008
solitaryensis,VU,2008
spathulata,LC,2008
spicifera,VU,2008
subglabra,LC,2014
subulata,LC,2008
tenuis,NT,2014
torresiana,DD,2008
tortuosa,LC,2008
valenciennesi,LC,2008
valida,LC,2014
vaughani,VU,2014
verweyi,VU,2014
yongei,LC,2008
speciosum,LC,2010
huerlimannii,NT,1998
albonigra,DD,2013
caerulea,DD,2013
echinites,VU,2013
flammea,LC,2013
fusca,DD,2013
lecanora,DD,2013
mauritiana,VU,2013
miliaris,VU,2013
palauensis,LC,2013
spinea,LC,2013
hypoleucos,LC,2012
capillus-veneris,LC,2013
savesi,CR,2013
strigatus,DD,2016
spodiopygius,LC,2014
brevistyla,LC,2013
rogaa,DD,2008
narinari,NT,2006
ocellatus,VU,2016
lanceolata,VU,2010
montana,CR,2014
moorei,VU,2010
ovata,EN,2010
elaeagnoidea,LC,1998
insignis,LC,2011
berryi,LC,2015
duboisii,LC,2010
eydouxii,LC,2010
laevis,LC,2010
guillainii,VU,2010
argentea,DD,2012
affinis,LC,2015
ciliaris,LC,2010
vari,LC,2010
brevirostris,LC,2015
ferox,LC,2010
australis,LC,2015
productus,LC,2015
glabrata,VU,1998
pelagicus,VU,2009
superciliosus,VU,2009
