Kingdom,Phylum,Class,Order,Family,Genus,Species,Red List status,Year assessed,Source
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Suliforme,Sulidae,Morus,serrator,LC,2012,http://www.iucnredlist.org/details/22696675/0
ANIMALIA,Chordata,Chondrichthyens,,MYLIOBATIDAE,Manta,birostris,VU,2010,http://www.iucnredlist.org/details/198921/0
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Carcharhinus,amblyrhynchos,NT,2005,http://www.iucnredlist.org/details/39365/0
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Carcharhinus,brevipinna,NT,2005,http://www.iucnredlist.org/details/39368/0
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Carcharhinus,limbatus,NT,2005,http://www.iucnredlist.org/details/3851/0
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Carcharhinus,sorrah,NT,2007,http://www.iucnredlist.org/details/161376/0
ANIMALIA,Chordata,Chondrichthyens,,LAMNIDAE,Isurus,paucus,VU,2006,http://www.iucnredlist.org/details/60225/0
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Negaprion,acutidens,VU,2003,http://www.iucnredlist.org/details/41836/0
ANIMALIA,Chordata,Reptilia,,CHELONIIDAE,Eretmochelys,imbricata,CR,2008,http://www.iucnredlist.org/details/8005/0
ANIMALIA,Chordata,Actinopterygii,,SCARIDAE,Scarus,ghobban,LC,2012,http://www.iucnredlist.org/details/190705/0
PLANTAE,,,,Moraceae,Ficus,lifouensis,DD,2016,http://www.catalogueoflife.org/col/details/species/id/8ea150c0305f6836e57e725fd5020216
PLANTAE,,,,Boraginaceae,Heliotropium,foertherianum,LC,1998,http://www.iucnredlist.org/details/34280/0
PLANTAE,,,,Apocynaceae,Cerbera,manghas,DD,,
PLANTAE,,,,Amaranthaceae,Einadia,nutans,DD,,
PLANTAE,,,,Cyatheaceae,Cyathea,alata,DD,2016,http://www.catalogueoflife.org/col/details/species/id/ce20e091f8aeb4307f2fd51f127b2870
PLANTAE,,,,Araceae,Alocasia,macrorrhizos,LC,2014,http://www.catalogueoflife.org/col/details/species/id/d2c93839a0039504d5bdbaa69fa20af3
ANIMALIA,Chordata,Actinopterygii,,CHAETODONTIDAE,Chaetodon,semeion,LC,2009,http://www.iucnredlist.org/details/165725/0
