species,iucn_status,year,risk.wt
veliferum,LC,2012,0
dispar,LC,2012,0
hololepis,LC,2015,0
cavirostris,LC,2008,0
echinatus,LC,2008,0
inornatus,LC,2012,0
lateralis,LC,2012,0
minutus,LC,2012,0
xanthochroa,LC,2012,0
cristatus,LC,2015,0
serrator,LC,2012,0
birostris,VU,2010,0.4
sorrah,NT,2007,0.2
paucus,VU,2006,0.4
imbricata,CR,2008,0.8
ghobban,LC,2012,0
macrorrhizos,LC,2014,0
semeion,LC,2009,0
