species,iucn_status,year,risk.wt
hians,LC,2015,0
galatheae,LC,2015,0
peronii,LC,2010,0
tenuimana,LC,2011,0
bowerbanki,VU,2008,0.4
echinata,LC,2014,0
hemprichii,VU,2008,0.4
hillae,NT,2014,0.2
ishigakiensis,VU,2014,0.4
lordhowensis,NT,2008,0.2
rotundoflora,NT,2014,0.2
solandri,LC,2011,0
armatus,LC,2015,0
achilles,LC,2012,0
albipectoralis,LC,2012,0
blochii,LC,2012,0
dussumieri,LC,2012,0
grammoptilus,LC,2012,0
guttatus,LC,2012,0
leucopareius,LC,2012,0
lineatus,LC,2012,0
mata,LC,2012,0
nigricans,LC,2012,0
nigricauda,LC,2012,0
nigrofuscus,LC,2012,0
nubilus,LC,2012,0
olivaceus,LC,2012,0
pyroferus,LC,2012,0
thompsoni,LC,2012,0
triostegus,LC,2012,0
xanthopterus,LC,2012,0
fasciatus,LC,2012,0
haplochrous,NT,2012,0.2
tentaculata,LC,2016,0
pancheri,NT,2010,0.2
radiatus,LC,2016,0
tomentosus,LC,2016,0
bullatus,NT,2010,0.2
calcicola,EN,2010,0.6
abrolhosensis,VU,2008,0.4
abrotanoides,LC,2014,0
aculeus,VU,2014,0.4
acuminata,VU,2014,0.4
anthocercis,VU,2008,0.4
aspera,VU,2014,0.4
austera,NT,2008,0.2
bushyensis,LC,2008,0
carduus,NT,2008,0.2
caroliniana,VU,2008,0.4
cerealis,LC,2014,0
chesterfieldensis,LC,2008,0
clathrata,LC,2008,0
cytherea,LC,2008,0
dendrum,VU,2008,0.4
digitifera,NT,2014,0.2
divaricata,NT,2008,0.2
donei,VU,2008,0.4
echinata,VU,2008,0.4
elseyi,LC,2008,0
florida,NT,2014,0.2
formosa,NT,2014,0.2
gemmifera,LC,2014,0
glauca,NT,2008,0.2
grandis,LC,2014,0
granulosa,NT,2014,0.2
horrida,VU,2008,0.4
humilis,NT,2014,0.2
hyacinthus,NT,2008,0.2
kirstyae,VU,2008,0.4
latistella,LC,2008,0
listeri,VU,2014,0.4
lokani,VU,2008,0.4
longicyathus,LC,2008,0
loripes,NT,2014,0.2
lovelli,VU,2014,0.4
lutkeni,NT,2014,0.2
microclados,VU,2008,0.4
microphthalma,LC,2014,0
millepora,NT,2014,0.2
monticulosa,NT,2014,0.2
nana,NT,2008,0.2
nasuta,NT,2014,0.2
nobilis,LC,2008,0
palmerae,VU,2014,0.4
paniculata,VU,2008,0.4
pharaonis,VU,2008,0.4
pichoni,NT,2008,0.2
polystoma,VU,2008,0.4
pulchra,LC,2008,0
