Kingdom,Phylum,Class,Order,Family,Genus,Species,Red List status,Year assessed
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favites,abdita,NT,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,abrolhosensis,VU,2008
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,abrotanoides,LC,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELEOTRIDAE,Eleotris,acanthopoma,LC,2012
ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,NEPHROPIDAE,Nephropsis,acanthura,LC,2011
ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,GONOSTOMATIDAE,Cyclothone,acclinidens,LC,2015
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,achatinus,LC,2013
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,achilles,LC,2012
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,LYTHRACEAE,Pemphis,acidula,LC,2010
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,HYDROCHARITALES,HYDROCHARITACEAE,Enhalus,acoroides,LC,2010
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Galaxea,acrhelia,VU,2008
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Heliofungia,actiniformis,VU,2008
ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,POLYCHELIDAE,Stereomastis,aculeata,LC,2011
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Seriatopora,aculeata,VU,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,aculeus,VU,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,acuminata,VU,2014
ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Calidris,acuminata,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,Heniochus,acuminatus,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,BELONIDAE,Tylosurus,acus,LC,2015
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,acutangulus,LC,2013
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,acutorostrata,LC,2008
ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,PALAEMONIDAE,Macrobrachium,aemulum,LC,2013
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUPHORBIALES,EUPHORBIACEAE,Phyllanthus,aeneus,LC,2010
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUPHORBIALES,EUPHORBIACEAE,Phyllanthus,aeneus,LC,2010
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUPHORBIALES,EUPHORBIACEAE,Phyllanthus,aeneus,EN,2010
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUPHORBIALES,EUPHORBIACEAE,Phyllanthus,aeneus,CR,2010
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,CARYOPHYLLIIDAE,Heterocyathus,aequicostatus,LC,2008
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARALES,LEMNACEAE,Lemna,aequinoctialis,LC,2011
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,aequituberculata,LC,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Euthynnus,affinis,LC,2011
ANIMALIA,CHORDATA,ACTINOPTERYGII,NOTACANTHIFORMES,HALOSAURIDAE,Aldrovandia,affinis,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Stomias,affinis,LC,2015
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUPHORBIALES,EUPHORBIACEAE,Excoecaria,agallocha,LC,2010
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Symphyllia,agaricia,LC,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,AULOPIFORMES,CHLOROPHTHALMIDAE,Chlorophthalmus,agassizi,LC,2015
ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPLODACTYLIDAE,Eurydactylodes,agricolae,NT,2011
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,akajimensis,DD,2008
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Acanthopagrus,akazakii,DD,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Thunnus,alalunga,NT,2011
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,LYTHRACEAE,Sonneratia,alba,LC,2010
ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Calidris,alba,LC,2012
ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Gygis,alba,LC,2012
ANIMALIA,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Ardea,alba,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Thunnus,albacares,NT,2011
ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Sternula,albifrons,LC,2012
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Variola,albimarginata,LC,2008
ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,albimarginatus,NT,2009
ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Parmaturus,albimarginatus,DD,2009
ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,HIMANTOLOPHIDAE,Himantolophus,albinares,DD,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,albipectoralis,LC,2012
ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Parmaturus,albipenis,DD,2009
