species,iucn_status,year,risk.wt
albifrons,LC,2012,0
anaethetus,LC,2012,0
bergii,LC,2015,0
dougallii,LC,2015,0
fuscatus,LC,2015,0
nereis,VU,2012,0.4
sumatrana,LC,2015,0
ariel,LC,2012,0
minor,LC,2012,0
minor,NT,2014,0.2
minor,LC,2010,0
minor,LC,2014,0
serrator,LC,2012,0
dactylatra,LC,2015,0
leucogaster,LC,2015,0
sula,LC,2012,0
novaeangliae,LC,2008,0
narinari,NT,2006,0.2
birostris,VU,2010,0.4
alfredi,VU,2011,0.4
pelagicus,VU,2009,0.4
pelagicus,LC,2014,0
pelagicus,LC,2013,0
superciliosus,VU,2009,0.4
vulpinus,VU,2009,0.4
albimarginatus,NT,2009,0.2
falciformis,NT,2009,0.2
leucas,NT,2009,0.2
longimanus,VU,2015,0.4
melanopterus,NT,2009,0.2
obscurus,VU,2009,0.4
obscurus,LC,2013,0
obscurus,LC,2011,0
plumbeus,VU,2009,0.4
sorrah,NT,2007,0.2
carcharias,VU,2009,0.4
cuvier,NT,2009,0.2
oxyrinchus,VU,2009,0.4
paucus,VU,2006,0.4
ferrugineus,LC,2013,0
glauca,NT,2008,0.2
glauca,NT,2009,0.2
lewini,EN,2007,0.6
mokarran,EN,2007,0.6
obesus,VU,2011,0.4
caretta,VU,2015,0.4
imbricata,CR,2008,0.8
frontalis,LC,2012,0
frontalis,NT,2010,0.2
laticaudata,LC,2010,0
saintgironsi,LC,2010,0
solandri,LC,2011,0
solandri,LC,2014,0
solandri,VU,2012,0.4
dussumieri,LC,2012,0
dussumieri,LC,2014,0
muricatum,VU,2012,0.4
undulatus,LC,2012,0
unicornis,LC,2012,0
leopardus,LC,2008,0
leopardus,LC,2013,0
microrhinos,LC,2012,0
ghobban,LC,2012,0
nebulosus,LC,2010,0
nebulosus,CR,2008,0.8
agallocha,LC,2010,0
homei,LC,2015,0
variegata,LC,2012,0
macrorrhizos,LC,2014,0
cylindrica,NT,2014,0.2
cylindrica,LC,2014,0
auriga,LC,2010,0
baronessa,LC,2010,0
bennetti,LC,2014,0
citrinellus,LC,2010,0
ephippium,LC,2010,0
flavirostris,LC,2010,0
guentheri,LC,2010,0
guentheri,LC,2015,0
guentheri,LC,2014,0
kleinii,LC,2010,0
lineolatus,LC,2010,0
lunula,LC,2010,0
lunulatus,LC,2010,0
melannotus,LC,2010,0
mertensii,LC,2010,0
meyeri,LC,2010,0
ornatissimus,LC,2010,0
pelewensis,LC,2010,0
plebeius,LC,2010,0
rafflesii,LC,2010,0
reticulatus,LC,2015,0
reticulatus,LC,2011,0
semeion,LC,2009,0
speculum,LC,2010,0
trifascialis,NT,2010,0.2
ulietensis,LC,2010,0
unimaculatus,LC,2010,0
vagabundus,LC,2010,0
acuminatus,LC,2010,0
chrysostomus,LC,2010,0
monoceros,LC,2015,0
monoceros,LC,2010,0
singularius,LC,2010,0
varius,LC,2013,0
varius,LC,2010,0
