Kingdom,Phylum,Class,Order,Family,Genus,Species,ICONIC
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Charadriiforme,Laridae,Sterna,albifrons,Existence value
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Charadriiforme,Laridae,Sterna,anaethetus,Existence value
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Charadriiforme,Laridae,Sterna,bergii,Existence value
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Charadriiforme,Laridae,Sterna,dougallii,Existence value
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Charadriiforme,Laridae,Onychoprion,fuscatus,Existence value
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Charadriiforme,Laridae,Sterna,nereis,Existence value
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Charadriiforme,Laridae,Sterna,sumatrana,Existence value
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Suliforme,Fregatidae,Fregata,ariel,Existence value
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Suliforme,Fregatidae,Fregata,minor,Existence value
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Suliforme,Sulidae,Morus,serrator,Existence value
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Suliforme,Sulidae,Sula,dactylatra,Existence value
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Suliforme,Sulidae,Sula,leucogaster,Existence value
ANIMALIA,Chordata (Cord_s),Aves (Oiseaux),Suliforme,Sulidae,Sula,sula,Existence value
ANIMALIA,Chordata,Mammalia,,BALAENOPTERIDAE,Megaptera,novaeangliae,Existence value
ANIMALIA,Chordata,Chondrichthyens,,MYLIOBATIDAE,Aetobatus,narinari,Esthetic Value
ANIMALIA,Chordata,Chondrichthyens,,MYLIOBATIDAE,Manta,birostris,Esthetic Value
ANIMALIA,Chordata,Chondrichthyens,,MYLIOBATIDAE,Manta,alfredi,Esthetic Value
ANIMALIA,Chordata,Chondrichthyens,,ALOPIIDAE,Alopias,pelagicus,Cultural Value
ANIMALIA,Chordata,Chondrichthyens,,ALOPIIDAE,Alopias,superciliosus,Cultural Value
ANIMALIA,Chordata,Chondrichthyens,,ALOPIIDAE,Alopias,vulpinus,Cultural Value
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Carcharhinus,albimarginatus,Cultural Value
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Carcharhinus,amblyrhynchos,Cultural Value
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Carcharhinus,brevipinna,Cultural Value
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Carcharhinus,falciformis,Cultural Value
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Carcharhinus,leucas,Cultural Value
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Carcharhinus,limbatus,Cultural Value
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Carcharhinus,longimanus,Cultural Value
ANIMALIA,Chordata,Chondrichthyens,,CARCHARHINIDAE,Carcharhinus,melanopterus,Cultural Value
