Year,rel_protection_total,cum_rel_prot,ref_point_1,status_1,ref_point_2,status_2,ref_point_3,status_3
2008,0.6264,0.6264,128779.8706,0,669655.32712,0,746923.24948,0
2009,NA,0.6264,128779.8706,0,669655.32712,0,746923.24948,0
2010,NA,0.6264,128779.8706,0,669655.32712,0,746923.24948,0
2011,NA,0.6264,128779.8706,0,669655.32712,0,746923.24948,0
2012,NA,0.6264,128779.8706,0,669655.32712,0,746923.24948,0
2013,426.4776,427.104,128779.8706,0.33,669655.32712,0.06,746923.24948,0.06
2014,64389.9353,64817.0393,128779.8706,50.33,669655.32712,9.68,746923.24948,8.68
2015,NA,64817.0393,128779.8706,50.33,669655.32712,9.68,746923.24948,8.68
2016,NA,64817.0393,128779.8706,50.33,669655.32712,9.68,746923.24948,8.68
