kingdom,species,year,risk.wt
ANIMALIA,Montipora floweri,2014,0
ANIMALIA,Montipora foliosa,2014,0.2
ANIMALIA,Montipora foveolata,2014,0.2
ANIMALIA,Montipora grisea,2014,0
ANIMALIA,Montipora hispida,2008,0
ANIMALIA,Montipora hoffmeisteri,2014,0
ANIMALIA,Montipora incrassata,2008,0.2
ANIMALIA,Montipora informis,2014,0
ANIMALIA,Montipora millepora,2008,0
ANIMALIA,Montipora mollis,2008,0
ANIMALIA,Montipora nodosa,2008,0.2
ANIMALIA,Montipora peltiformis,2008,0.2
ANIMALIA,Montipora ramosa,"NA",0.5
ANIMALIA,Montipora spongodes,2008,0
ANIMALIA,Montipora spumosa,2008,0
ANIMALIA,Montipora tuberculosa,2014,0
ANIMALIA,Montipora turgescens,2008,0
ANIMALIA,Montipora turtlensis,2008,0.4
ANIMALIA,Montipora undata,2008,0.2
ANIMALIA,Montipora venosa,2014,0.2
ANIMALIA,Montipora verrucosa,2014,0
ANIMALIA,Pachyseris rugosa,2014,0.4
ANIMALIA,Pachyseris speciosa,2014,0
ANIMALIA,Palauastrea ramosa,"NA",0.5
ANIMALIA,Pavona cactus,2014,0.4
ANIMALIA,Pavona clavus,2014,0
ANIMALIA,Pavona decussata,2014,0.4
ANIMALIA,Pavona explanulata,2014,0
ANIMALIA,Pavona maldivensis,2014,0
ANIMALIA,Pavona minuta,2014,0.2
ANIMALIA,Pavona varians,2014,0
ANIMALIA,Pavona venosa,2014,0.4
ANIMALIA,Physogyra lichtensteini,2014,0.4
ANIMALIA,Plerogyra simplex,2014,0.2
ANIMALIA,Plerogyra sinuosa,2014,0.2
ANIMALIA,Plesiastrea versipora,2014,0
ANIMALIA,Pocillopora damicornis,2014,0
ANIMALIA,Pocillopora eydouxi,2014,0.2
ANIMALIA,Pocillopora meandrina,2014,0
ANIMALIA,Pocillopora verrucosa,2014,0
ANIMALIA,Pocillopora woodjonesi,2014,0
ANIMALIA,Podabacia crustacea,2014,0
ANIMALIA,Polyphyllia novaehiberniae,2008,0.2
ANIMALIA,Polyphyllia talpina,2014,0
ANIMALIA,Porites australiensis,2014,0
ANIMALIA,Porites cylindrica,2014,0.2
ANIMALIA,Porites lichen,2014,0
ANIMALIA,Porites lobata,2014,0.2
ANIMALIA,Porites lutea,2014,0
ANIMALIA,Porites murrayensis,2014,0.2
ANIMALIA,Porites nigrescens,2014,0.4
ANIMALIA,Porites rus,2014,0
ANIMALIA,Porites solida,2014,0
ANIMALIA,Porites vaughani,2014,0
ANIMALIA,Psammocora contigua,2014,0.2
ANIMALIA,Psammocora digitata,2014,0.2
ANIMALIA,Psammocora explanulata,"NA",0.5
ANIMALIA,Psammocora haimeana,2014,0
ANIMALIA,Psammocora nierstraszi,"NA",0.5
ANIMALIA,Pseudosidastrea tayamai,"NA",0.5
ANIMALIA,Sandalolitha robusta,2008,0
ANIMALIA,Saropathes margaritae,"NA",0.5
ANIMALIA,Scapophyllia cylindrica,2014,0
ANIMALIA,Scolymia australis,2014,0
ANIMALIA,Scolymia fungiformis,"NA",0.5
ANIMALIA,Scolymia vitiensis,2008,0.2
ANIMALIA,Seriatopora caliendrum,2014,0.2
ANIMALIA,Seriatopora hystrix,2014,0
ANIMALIA,Stylocoeniella armata,2014,0
ANIMALIA,Stylocoeniella guentheri,2014,0
ANIMALIA,Stylophora mordax,"NA",0.5
ANIMALIA,Stylophora pistillata,2014,0.2
ANIMALIA,Symphyllia agaricia,2014,0
ANIMALIA,Symphyllia radians,2008,0
ANIMALIA,Symphyllia recta,2008,0
ANIMALIA,Symphyllia valenciennesi,2014,0
ANIMALIA,Tubastrea aurea,"NA",0.5
ANIMALIA,Turbinaria bifrons,2008,0.4
ANIMALIA,Turbinaria conspicua,"NA",0.5
ANIMALIA,Turbinaria heronensis,"NA",0.5
ANIMALIA,Turbinaria mesenterina,2014,0.4
ANIMALIA,Turbinaria patula,2008,0.4
ANIMALIA,Turbinaria peltata,2008,0.4
ANIMALIA,Turbinaria radicalis,2008,0.2
ANIMALIA,Turbinaria reniformis,2014,0.4
ANIMALIA,Turbinaria stellulata,2014,0.4
PLANTAE,Canavalia sericea,2012,0
PLANTAE,Erythrina variegata,2012,0
PLANTAE,Excoecaria agallocha,2010,0
PLANTAE,Pemphis acidula,2010,0
PLANTAE,Abutilon indicum,"NA",0.5
PLANTAE,Achyranthes aspera var. velutina,"NA",0.5
PLANTAE,Acrostichum aureum,"NA",0.5
PLANTAE,Arytera neoebudensis,"NA",0.5
PLANTAE,Bikkia tetrandra,"NA",0.5
PLANTAE,Boerhavia diffusa,"NA",0.5
PLANTAE,Casuarina equisetifolia subsp. incana,"NA",0.5
PLANTAE,Cenchrus caliculatus,"NA",0.5
PLANTAE,Chloris barbata,"NA",0.5
PLANTAE,Cocos nucifera,"NA",0.5
PLANTAE,Colubrina asiatica var. asiatica,"NA",0.5
PLANTAE,Eugenia aff. noumeensis,"NA",0.5
PLANTAE,Ficus spp.,"NA",0.5
PLANTAE,Heliotropium foertherianum,"NA",0.5
PLANTAE,Hibiscus tiliaceus,"NA",0.5
PLANTAE,Ipomoea pes-caprae subsp. brasiliensis,"NA",0.5
PLANTAE,Lepturus repens,"NA",0.5
PLANTAE,Leucaena leucocephala,"NA",0.5
PLANTAE,Microsorum grossum,"NA",0.5
