species,scientific_name
thon blanc,Thunnus alalunga
thon jaune,Thunnus albacares
thon obese,Thunnus obesus
espadon,Xiphias gladius
marlin raye,Kajikia audax
marlin bleu,Makaira mazara
marlin noir,Istiompax indica
wahoo,Acanthocybium solandri
saumon des dieux,Lampris guttatus
mahi mahi,Coryphaena hippurus
voilier,Istiophorus platypterus
marlineau,Tetrapturus angustirostris
other,other
Sea Cucumber,Holothuroidea (class)
Lobsters,Panulirus (genus)
Deep-sea Snappers,Pagrus auratus
