,year,time1,time2,FFmsy,MSY,BBmsy,SBSBmsy,Fmsy,BmsyB0,SBmsySB0
1,1952,244,240,0.048,223040,3.254,4.939,0.066,0.367,0.241
2,1953,240,236,0.045,220480,3.296,4.975,0.066,0.365,0.241
3,1954,236,232,0.032,214520,3.334,4.929,0.065,0.363,0.245
4,1955,232,228,0.054,207240,3.395,4.839,0.062,0.363,0.25
5,1956,228,224,0.055,211360,3.504,4.853,0.064,0.36,0.246
6,1957,224,220,0.068,214920,3.492,4.98,0.065,0.363,0.243
7,1958,220,216,0.092,221080,3.311,5.196,0.065,0.369,0.245
8,1959,216,212,0.085,233720,3.108,5.267,0.069,0.371,0.239
9,1960,212,208,0.09,240240,2.963,4.87,0.071,0.37,0.234
10,1961,208,204,0.084,239600,2.805,4.403,0.07,0.375,0.233
11,1962,204,200,0.078,247000,2.705,4.313,0.072,0.377,0.231
12,1963,200,196,0.1,237320,2.636,4.095,0.069,0.375,0.237
13,1964,196,192,0.072,243320,2.547,4.068,0.071,0.376,0.233
14,1965,192,188,0.072,238480,2.504,3.968,0.07,0.373,0.233
15,1966,188,184,0.077,240760,2.434,3.919,0.071,0.373,0.231
16,1967,184,180,0.093,223000,2.376,3.621,0.066,0.37,0.243
17,1968,180,176,0.076,226800,2.311,3.536,0.067,0.37,0.241
18,1969,176,172,0.089,233040,2.195,3.441,0.068,0.372,0.238
19,1970,172,168,0.138,158160,2.159,2.9,0.048,0.361,0.279
20,1971,168,164,0.197,125760,2.06,2.565,0.038,0.359,0.296
21,1972,164,160,0.227,149840,1.912,2.484,0.046,0.359,0.281
22,1973,160,156,0.21,148240,1.758,2.368,0.045,0.357,0.281
23,1974,156,152,0.322,124400,1.605,2.03,0.038,0.361,0.298
24,1975,152,148,0.361,142560,1.478,1.777,0.042,0.368,0.294
25,1976,148,144,0.375,145040,1.451,1.652,0.044,0.363,0.287
26,1977,144,140,0.456,126000,1.446,1.512,0.038,0.362,0.297
27,1978,140,136,0.372,119280,1.447,1.52,0.036,0.36,0.301
28,1979,136,132,0.527,107440,1.427,1.62,0.033,0.358,0.305
29,1980,132,128,0.413,131600,1.353,1.657,0.04,0.358,0.291
30,1981,128,124,0.461,114720,1.337,1.599,0.036,0.348,0.293
31,1982,124,120,0.527,114640,1.328,1.495,0.036,0.346,0.29
32,1983,120,116,0.549,107840,1.362,1.393,0.035,0.34,0.289
33,1984,116,112,0.775,87360,1.375,1.358,0.028,0.34,0.3
34,1985,112,108,0.666,106240,1.342,1.445,0.034,0.341,0.291
35,1986,108,104,0.777,86920,1.326,1.457,0.028,0.336,0.297
36,1987,104,100,0.784,112760,1.287,1.45,0.037,0.337,0.283
37,1988,100,96,0.664,120080,1.257,1.34,0.039,0.339,0.281
38,1989,96,92,0.726,107520,1.303,1.301,0.035,0.336,0.286
39,1990,92,88,0.792,109080,1.329,1.267,0.035,0.339,0.287
40,1991,88,84,0.85,87360,1.374,1.333,0.029,0.333,0.294
41,1992,84,80,0.853,105600,1.391,1.495,0.035,0.329,0.28
42,1993,80,76,0.706,116880,1.33,1.485,0.038,0.335,0.28
43,1994,76,72,0.957,115960,1.278,1.426,0.037,0.339,0.283
44,1995,72,68,0.903,110480,1.217,1.265,0.035,0.345,0.291
45,1996,68,64,0.84,106160,1.291,1.239,0.034,0.338,0.288
46,1997,64,60,1.154,101120,1.383,1.25,0.034,0.329,0.284
47,1998,60,56,1.424,92560,1.355,1.286,0.031,0.331,0.29
48,1999,56,52,1.426,90880,1.304,1.34,0.03,0.327,0.288
49,2000,52,48,1.251,98040,1.197,1.28,0.032,0.337,0.293
50,2001,48,44,1.236,99000,1.169,1.166,0.032,0.342,0.295
51,2002,44,40,1.364,113400,1.186,1.101,0.037,0.339,0.285
52,2003,40,36,1.257,100400,1.158,1.006,0.032,0.345,0.299
53,2004,36,32,1.562,108080,1.21,1.138,0.035,0.336,0.285
54,2005,32,28,1.343,103480,1.148,1.109,0.034,0.338,0.291
55,2006,28,24,1.512,108800,1.116,1.106,0.035,0.341,0.291
56,2007,24,20,1.28,117200,1.063,1.039,0.037,0.342,0.287
57,2008,20,16,1.667,96360,1.028,1.006,0.031,0.337,0.294
58,2009,16,12,1.673,102640,0.987,0.981,0.034,0.335,0.287
59,2010,12,8,1.329,116240,0.924,0.923,0.037,0.34,0.284
60,2011,8,4,1.607,121200,0.921,0.856,0.039,0.336,0.278
