order_color,order_hierarchy,order_calculate,goal,parent,name,name_flower,description,weight,preindex_function,postindex_function
1,1,1,FIS,,Fisheries,Fisheries,"This subgoal model aims to assess the amount of wild-caught seafood that can be sustainably harvested, with sustainability defined by multi-species yield, and with penalties assigned for both over- and under-harvesting.",0.5,FIS(layers),
2,2,2,SP,,Sense of Place,Sense of Place,This goal aims to capture the level of protection for aspects of the coastal and marine system that contribute to a person's sense of cultural identity.,1,,SP(scores)
3,3,3,ICO,SP,Iconic Species,Iconic\nSpecies,This subgoal captures the species that are important to a region because they are relevant to local cultural identity.,0.5,ICO(layers),
4,4,4,LSP,SP,Lasting Special Places,Lasting Special\nPlaces,"This subgoal captures the conservation status of geographic locations that hold significant aesthetic, spiritual, cultural, recreational, or existence value for people.",0.5,LSP(layers),
5,5,5,BD,,Biodiversity,Biodiversity,This goal captures the conservation status of marine species.,1,,BD(scores)
5.1,5.1,6,HAB,BD,Habitats,Habitats,This subgoal measures the condition of habitats that are important for supporting a wide array of species diversity.,0.5,HAB(layers),
5.2,5.2,7,SPP,BD,Species,Species,This subgoal aims to estimate how successfully the richness and variety of marine life is being maintained.,0.5,SPP(layers),
